Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB.0382	0.00342669254076737	0.00297276877176606	0.0274326201850973	0.0691332935368404	0	0.0421403378393498	0	0.0550270984733871	0.038542904657332	0.0765029176310688	0	0.0912593826158894	0.0526370445113515	0.00782107034561477	0.125003823926142	0.156981647883169	0.00698813428370461	0	0.24413026279852	0	0	0	0.13	0.0985552778176792	1.05834847965563
MB.0327	0.0309423270240802	0	0.0100872953616072	0.133007558989698	0	0.0591376610405506	0	0.0533594619254034	0.00295753655324378	0.0687865976333853	0	0.0536650455256225	0	0.158586024162004	0.0623688959315766	0.258582579788418	0	0	0.108519016064411	0	0	0	0.176	0.079513286945885	1.0619337587365
MB.0066	0.016451236548467	0	0.148170417081123	0.0597298993695889	0	0.126903471656233	0.0268685713035406	0.0666768970790515	0	0.0735822916380817	0	0.0619476015191615	0.0130650026684649	0.0412627861873755	0.119293411380628	0.171155773754664	0.00853881408389077	0	0.0663538257297299	0	0	0	0.19	0.0731508639421092	1.05856310210907
MB.0144	0	0.0706943281553988	0	0.142356175893625	0	0.046690683530216	0	0.0845334850324516	0.0144974869714663	0.13882965443441	0	0.0363425998931942	0.0269958607912051	0.0724168695812291	0.0927832962438866	0.143004479676863	0.0125133444063442	0	0.11834173538971	0	0	0	0.182	0.0769176518344911	1.06089516040545
MB.0596	0	0	0.220148567512401	0.0515409024084306	0	0.0578771993428749	0	0.0398413992503608	0.0338396859682678	0.0812049894672926	0	0.0846488140350273	0.0152096934519338	0.0454387189448372	0.100349436471937	0.183220120394131	0.0102205835292758	0	0.0764598892232293	0	0	0	0.086	0.119609445614993	1.04537442473087
MB.0164	0.0111300379810875	0	0.00998330108235859	0.048541692880356	0	0.0541496335787395	0	0.0290058308989946	0.0105215158065079	0	0	0.0249200359285893	0.182488317476641	0.266624462531821	0.0120960424002895	0.112502327026523	0	0.120611179754032	0	0.117425622654061	0	0	0.0679999999999999	0.145530699291432	1.04804559610574
MB.0215	0.00886696438618333	0.00899753200782447	0.0535740334592473	0.111068471299836	0	0.123647824905034	0	0.0783752859782184	0	0	0	0.0203088260224479	0.0189021127818728	0.0955386328494611	0.165077171511809	0.158859298658729	0	0	0.156426498180828	0	0	0.000357347958510093	0.16	0.0859194931315886	1.05685451256833
MB.0146	0.00347664411703633	0.0319145991957085	0	0.0375000976723133	0	0.131789618873921	0	0.0378159260483868	0.00138982291461721	0.0882044639701389	0	0.00974138277212788	0.0154391452855348	0	0.103549675807821	0.413676236561518	0.0163946369069185	0	0.104986680049623	0.00412106982433418	0	0	0.34	0.036833930712264	1.08050329453734
MB.0229	0.0197119309962869	0	0.0267096479040246	0.0360856968761702	0	0.0870763311927358	0	0.11572882291025	0	0.0108654586933924	0	0.0173466228501271	0	0.186104758180061	0.0374776020566434	0.285022220156631	0	0	0.0944722455220611	0.0772914230108483	0	0.00610723965076766	0.204	0.0658360808329898	1.07209124888438
MB.0505	0	0.00384777734615599	0.0246874278348828	0.124790859864897	0	0.11823715774741	0	0.0239440645712929	0	0.0541923665075778	0	0.0793528045655719	0.0401932233416872	0	0.0523209034642025	0.224425199454668	0.00150626313479723	0.00185903041071297	0.236697261172087	0.0139456605840573	0	0	0.11	0.109268063676362	1.04999322758844
MB.0102	0.0726994928516862	0	0.131904733828224	0.0638289702519192	0	0.132360051203527	0.0175238001758852	0.0796656278960598	0	0.0514125136515942	0	0.0400961338887895	0.0370339507062342	0.00980345169695942	0.176858353478644	0.0791113103845325	0	0	0.107701609985944	0	0	0	0.14	0.093251354839662	1.05796243371377
MB.0569	0	0.0405820377442122	0.017662622400774	0.019238073982765	0	0.186307545855339	0	0.04161073894968	0.0315801239687835	0.0534543502736192	0	0.0684837041257099	0.0105302872805336	0.060754899401357	0.064188367908292	0.195150371981006	0	0	0.156713887924477	0.053742988203452	0	0	0.084	0.121820821373684	1.03922051676355
MB.0516	0	0	0	0.0261146890603201	0	0.0570389131147819	0.00776126346100988	0.0671570413995137	0.00898880199196738	0	0	0.0690753798129756	0.0771968302714314	0.115306774390923	0.115514287372543	0.242920217535284	0.00280490269014079	0.131520943086776	0	0.0648230273952431	0	0.0137769284170896	0.148	0.0905417414115688	1.07264861777169
MB.0272	0.0234084781239498	0.0186216150196807	0.071174401025927	0.0417120576071994	0	0.0694667277941169	0	0.0745078307417923	0.0276920391236567	0.0770919610779413	0	0.0437735631991188	0.00336152465740568	0.141799251580608	0.0947479275013854	0.282782613375387	0.00249039199995306	0	0.0273696171718783	0	0	0	0.078	0.131760127471681	1.0378905290373
MB.0585	0	0.0459296618913084	0	0.0365815912573188	0	0.094498724717606	0	0.0470121481084305	0.00285182052210348	0.023820298827063	0	0.0519359575446668	0.0791714366332726	0.0292184566658244	0.0541834702661263	0.168041114829217	0.0195416728627747	0	0.34581490222507	0	0	0.00139874364921829	0.19	0.0724346144843773	1.06774817661295
